Generation,evals,avg,std,min,max,best_one,fitness_best_one
66,710,[   8.        1526.2145435],[0.         0.46198222],[   8.         1525.20910329],[   8.         1527.21548756],"[14, 23, 25, 5, 6, 9, 3, 4, 2, 24, 19, 17, 7, 8, 11, 20, 22, 21, 1, 10, 15, 12, 13, 16, 18]","(8.0, 1525.209103293244)"
67,666,[   8.         1525.95886701],[0.         0.08803521],[   8.         1524.84745198],[   8.         1525.96933745],"[23, 14, 25, 5, 6, 9, 3, 4, 2, 24, 19, 17, 7, 8, 11, 21, 22, 20, 1, 10, 16, 18, 13, 15, 12]","(8.0, 1524.8474519815124)"
68,678,[   8.         1525.94607147],[0.         0.13907815],[   8.         1524.52840654],[   8.         1525.96933745],"[23, 14, 25, 5, 6, 9, 3, 4, 2, 24, 19, 13, 7, 8, 11, 21, 22, 20, 1, 10, 12, 18, 17, 15, 16]","(8.0, 1524.528406538394)"
69,672,[   8.         1525.91212942],[0.         0.22507428],[   8.         1523.92307589],[   8.         1525.96933745],"[14, 23, 25, 5, 6, 9, 3, 4, 2, 24, 19, 17, 7, 8, 11, 20, 22, 21, 1, 10, 13, 12, 15, 16, 18]","(8.0, 1523.9230758884032)"
70,682,[   8.         1525.84006297],[0.         0.33174025],[   8.         1523.92307589],[   8.         1525.96933745],"[14, 23, 25, 5, 6, 9, 3, 4, 2, 24, 19, 17, 7, 8, 11, 20, 22, 21, 1, 10, 13, 12, 15, 16, 18]","(8.0, 1523.9230758884032)"
71,660,[   8.        1525.6922158],[0.         0.45061963],[   8.         1523.92307589],[   8.         1525.96933745],"[14, 23, 25, 5, 6, 9, 3, 4, 2, 24, 19, 17, 7, 8, 11, 20, 22, 21, 1, 10, 13, 12, 15, 16, 18]","(8.0, 1523.9230758884032)"
72,678,[   8.         1525.40435065],[0.         0.52895413],[   8.         1523.92307589],[   8.         1525.90088937],"[14, 23, 25, 5, 6, 9, 3, 4, 2, 24, 19, 17, 7, 8, 11, 20, 22, 21, 1, 10, 13, 12, 15, 16, 18]","(8.0, 1523.9230758884032)"
73,700,[   8.         1524.97956977],[0.         0.39792295],[   8.         1523.56328191],[   8.         1525.77455665],"[23, 25, 14, 5, 6, 9, 3, 4, 2, 24, 19, 13, 7, 8, 11, 21, 20, 22, 1, 10, 12, 18, 17, 15, 16]","(8.0, 1523.5632819056152)"
74,694,[   8.         1524.68890676],[0.        0.3475309],[   8.         1522.52018586],[   8.         1525.02420877],"[23, 14, 25, 5, 6, 9, 3, 4, 2, 24, 19, 13, 7, 8, 11, 20, 22, 21, 1, 10, 12, 18, 17, 15, 16]","(8.0, 1522.5201858648024)"
75,684,[   8.         1524.43672876],[0.         0.35936887],[   8.         1522.52018586],[   8.         1524.84745198],"[23, 14, 25, 5, 6, 9, 3, 4, 2, 24, 19, 13, 7, 8, 11, 20, 22, 21, 1, 10, 12, 18, 17, 15, 16]","(8.0, 1522.5201858648024)"
